Month,Log Ret EP,d/p,e/p,b/m,ntis,d/e,tbl,dfy,tms
192701,-0.023662602,-2.942374495,-2.374773288,0.443705645,0.073564221,-0.567601208,0.0323,0.0095,0.0028
192702,0.043850917,-2.979534686,-2.430352781,0.428500864,0.071755598,-0.549181905,0.0329,0.0092,0.0018
192703,0.00381872,-2.976535097,-2.445078688,0.469765117,0.056557721,-0.531456408,0.032,0.0092,0.0011
192704,0.014261249,-2.98422499,-2.471308627,0.45675413,0.06120397,-0.512916363,0.0339,0.009,-0.0006
192705,0.048133918,-3.025963334,-2.531445828,0.434782609,0.057526608,-0.494517506,0.0333,0.0093,-0.0006
192706,-0.011989099,-3.007308841,-2.531329949,0.452385249,0.058026953,-0.475978892,0.0307,0.0097,0.0027
192707,0.060507991,-3.061144242,-2.603707368,0.414553473,0.056059785,-0.457436875,0.0296,0.0095,0.0037
192708,0.041291742,-3.095764479,-2.656741691,0.396227409,0.047204229,-0.439022789,0.027,0.0092,0.0059
192709,0.040075138,-3.129096986,-2.707758528,0.380586062,0.087270618,-0.421338457,0.0268,0.0088,0.0062
192710,-0.05711691,-3.065649787,-2.662875402,0.413800693,0.087119974,-0.402774385,0.0308,0.0087,0.0017
192711,0.063047592,-3.122543244,-2.73821796,0.379395591,0.074660299,-0.384325284,0.0304,0.0086,0.0016
192712,0.016224908,-3.132666959,-2.76694218,0.37468859,0.06936467,-0.365724779,0.0317,0.0086,-1.00E-04
192801,-0.007863829,-3.118894006,-2.74132392,0.378669621,0.051893753,-0.377570086,0.0331,0.0089,-0.001
192802,-0.020572373,-3.0926312,-2.704291342,0.386076599,0.047540078,-0.388339859,0.0333,0.0087,-0.0015
192803,0.100144804,-3.186980117,-2.788288955,0.363254838,0.044086685,-0.398691162,0.0327,0.0086,-0.001
192804,0.028883582,-3.210430574,-2.800831935,0.368095261,0.038282329,-0.409598639,0.0362,0.0087,-0.0043
192805,0.009334052,-3.214759309,-2.795243413,0.354396979,0.038801854,-0.419515897,0.039,0.0093,-0.0063
192806,-0.044604306,-3.165110341,-2.73525378,0.370299948,0.039788854,-0.429856561,0.0392,0.0098,-0.0066
192807,0.0090015,-3.169301712,-2.729377407,0.360648148,0.047306478,-0.439924305,0.0412,0.0097,-0.0068
192808,0.067867709,-3.232747346,-2.783670503,0.324029782,0.046112741,-0.449076843,0.0436,0.0097,-0.0095
192809,0.019874248,-3.248317648,-2.790435379,0.32816581,0.012454628,-0.457882269,0.0457,0.0098,-0.0111
192810,0.010493091,-3.254679872,-2.787458885,0.308930838,0.018810003,-0.467220988,0.047,0.0097,-0.0134
192811,0.109719076,-3.360085479,-2.884376585,0.265525939,0.025796696,-0.475708893,0.0426,0.0097,-0.0088
192812,-0.00066483,-3.355050779,-2.87044835,0.259666667,0.031173008,-0.484602429,0.0426,0.0099,-0.0086
192901,0.05163854,-3.398869092,-2.912288506,0.245346603,0.052211015,-0.486580585,0.0466,0.0101,-0.0117
